trial_type,sequence_label,block,item_id,condition,group,list_id,typicality,visual_availability,color,audio,left_object,right_object,left_color,right_color,left_image,right_image,left_role,right_role,attention_question,attention_key,correct_key
practice,practice,0,practice_01,practice,D,List 4,typical,full-color,yellow,cue_yellow.wav,banana,shirt,yellow,yellow,objects/full_color/yellow_banana.jpg,objects/full_color/yellow_shirt.jpg,color_associated,color_variable,Which option was the banana?,F,
critical,main-block-1,1,item_01,ATYP_GRAY,D,List 4,atypical,grayscale,green,cue_green.wav,shirt,banana,gray,gray,objects/grayscale/green_shirt_gray.jpg,objects/grayscale/green_banana_gray.jpg,color_variable,color_associated,,,
critical,main-block-1,1,item_02,TYP_GRAY,D,List 4,typical,grayscale,green,cue_green.wav,tennis ball,hat,gray,gray,objects/grayscale/green_tennis_ball_gray.jpg,objects/grayscale/green_hat_gray.jpg,color_associated,color_variable,,,
critical,main-block-1,1,item_03,TYP_FULL,D,List 4,typical,full-color,orange,cue_orange.wav,carrot,beanie,orange,orange,objects/full_color/orange_carrot.jpg,objects/full_color/orange_beanie.jpg,color_associated,color_variable,,,
critical,main-block-1,1,item_04,ATYP_FULL,D,List 4,atypical,full-color,yellow,cue_yellow.wav,book,ladybug,yellow,yellow,objects/full_color/yellow_book.jpg,objects/full_color/yellow_ladybug.jpg,color_variable,color_associated,Which one was a living object?,J,
filler,main-block-2,2,filler_04,FILLER,D,List 4,,full-color,pink,cue_pink.wav,wallet,pencil,blue,pink,objects/full_color/blue_wallet.jpg,objects/full_color/pink_pencil.jpg,filler_left,filler_right,,,J
critical,main-block-2,2,item_05,ATYP_GRAY,D,List 4,atypical,grayscale,red,cue_red.wav,car,basketball,gray,gray,objects/grayscale/red_car_gray.jpg,objects/grayscale/red_basketball_gray.jpg,color_variable,color_associated,,,
critical,main-block-2,2,item_06,TYP_GRAY,D,List 4,typical,grayscale,red,cue_red.wav,tomato,bowl,gray,gray,objects/grayscale/red_tomato_gray.jpg,objects/grayscale/red_bowl_gray.jpg,color_associated,color_variable,Which one was a fruit that is commonly mistaken for a vegetable?,F,
critical,main-block-3,3,item_07,TYP_FULL,D,List 4,typical,full-color,green,cue_green.wav,frog,bucket,green,green,objects/full_color/green_frog.jpg,objects/full_color/green_bucket.jpg,color_associated,color_variable,,,
critical,main-block-3,3,item_08,ATYP_FULL,D,List 4,atypical,full-color,purple,cue_purple.wav,backpack,corn,purple,purple,objects/full_color/purple_backpack.jpg,objects/full_color/purple_corn.jpg,color_variable,color_associated,,,
filler,main-block-3,3,filler_01,FILLER,D,List 4,,full-color,blue,cue_blue.wav,cup,plate,blue,yellow,objects/full_color/blue_cup.jpg,objects/full_color/yellow_plate.jpg,filler_left,filler_right,,,F
critical,main-block-3,3,item_09,ATYP_GRAY,D,List 4,atypical,grayscale,purple,cue_purple.wav,umbrella,construction helmet,gray,gray,objects/grayscale/purple_umbrella_gray.jpg,objects/grayscale/purple_construction_helmet_gray.jpg,color_variable,color_associated,,,
critical,main-block-3,3,item_10,TYP_GRAY,D,List 4,typical,grayscale,purple,cue_purple.wav,eggplant,chair,gray,gray,objects/grayscale/purple_eggplant_gray.jpg,objects/grayscale/purple_chair_gray.jpg,color_associated,color_variable,Which one do people generally sit on?,J,
critical,main-block-4,4,item_11,TYP_FULL,D,List 4,typical,full-color,orange,cue_orange.wav,pumpkin,suitcase,orange,orange,objects/full_color/orange_pumpkin.jpg,objects/full_color/orange_suitcase.jpg,color_associated,color_variable,,,
critical,main-block-4,4,item_12,ATYP_FULL,D,List 4,atypical,full-color,pink,cue_pink.wav,notebook,jeans,pink,pink,objects/full_color/pink_notebook.jpg,objects/full_color/pink_jeans.jpg,color_variable,color_associated,,,
filler,main-block-4,4,filler_02,FILLER,D,List 4,,full-color,green,cue_green.wav,notebook,bag,orange,green,objects/full_color/orange_notebook.jpg,objects/full_color/green_bag.jpg,filler_left,filler_right,,,J
critical,main-block-4,4,item_13,ATYP_GRAY,D,List 4,atypical,grayscale,pink,cue_pink.wav,soap dispenser,rubber duck,gray,gray,objects/grayscale/pink_soap_dispenser_gray.jpg,objects/grayscale/pink_rubber_duck_gray.jpg,color_variable,color_associated,,,
critical,main-block-4,4,item_14,TYP_GRAY,D,List 4,typical,grayscale,orange,cue_orange.wav,traffic cone,desk lamp,gray,gray,objects/grayscale/orange_traffic_cone_gray.jpg,objects/grayscale/orange_desk_lamp_gray.jpg,color_associated,color_variable,,,
critical,main-block-4,4,item_15,TYP_FULL,D,List 4,typical,full-color,red,cue_red.wav,fire extinguisher,water bottle,red,red,objects/full_color/red_fire_extinguisher.jpg,objects/full_color/red_water_bottle.jpg,color_associated,color_variable,,,
critical,main-block-4,4,item_16,ATYP_FULL,D,List 4,atypical,full-color,purple,cue_purple.wav,mug,piggy bank,purple,purple,objects/full_color/purple_mug.jpg,objects/full_color/purple_piggy_bank.jpg,color_variable,color_associated,,,
filler,main-block-4,4,filler_03,FILLER,D,List 4,,full-color,purple,cue_purple.wav,bottle,clock,purple,red,objects/full_color/purple_bottle.jpg,objects/full_color/red_clock.jpg,filler_left,filler_right,Which one shows time?,J,F
